UPID,Flipkart_URL
17499177,https://www.flipkart.com/duke-slippers/p/itm8e1eea4f0864e?pid=SFFFKGQSVSXTQVYJ&lid=LSTSFFFKGQSVSXTQVYJZHCSMU&marketplace=FLIPKART&store=osp%2Fcil%2Fe1r&srno=b_1_8&otracker=browse&fm=organic&iid=fd6f2649-de7e-4874-a8c7-aa5f294faaf7.SFFFKGQSVSXTQVYJ.SEARCH&ppt=browse&ppn=browse&ssid=nn8f04oz1s0000001622529638296
16952432,https://www.flipkart.com/gespo-men-solid-casual-white-shirt/p/itm76e14dd1b0320
17147412,https://www.flipkart.com/urbano-fashion-solid-men-mandarin-collar-dark-green-t-shirt/p/itm65a34a7459ed1?pid=TSHFTHCT7JMKU3HU&lid=LSTTSHFTHCT7JMKU3HUXFDYZY&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_1&otracker=browse&fm=organic&iid=efa70ffa-8abe-4001-80fa-3fe96d4a9dcc.TSHFTHCT7JMKU3HU.SEARCH&ppt=browse&ppn=browse&ssid=ssx0ysyvlc0000001622530396838
17011393,"https://www.flipkart.com/gentino-color-block-men-round-neck-multicolor-t-shirt/p/itm15178835c27f4?pid=TSHFZTZYH82YB885&lid=LSTTSHFZTZYH82YB885O6OUPH&marketplace=FLIPKART&cmpid=content_t-shirt_12477118216_u_8965229628_gmc_pla&tgi=sem,1,G,11214002,u,,,502923855084,,,,c,,,,,,,&ef_id=Cj0KCQjwktKFBhCkARIsAJeDT0hD81ip-RexwxQhadYuYUwZ2qBDTWRC9b0e69d9yg5FYNijCoePSPsaAr7pEALw_wcB:G:s&s_kwcid=AL!739!3!502923855084!!!u!302763144225!&gclid=Cj0KCQjwktKFBhCkARIsAJeDT0hD81ip-RexwxQhadYuYUwZ2qBDTWRC9b0e69d9yg5FYNijCoePSPsaAr7pEALw_wcB"
16952427,https://www.flipkart.com/gespo-men-solid-casual-black-shirt/p/itm70e0074fd0ca4
17569137,https://www.flipkart.com/gespo-men-solid-casual-black-maroon-shirt/p/itm935ba2137054c?pid=SHTFX8WCR7JFHMHT&lid=LSTSHTFX8WCR7JFHMHTKWIM8E&marketplace=FLIPKART&store=clo&srno=b_1_10&otracker=browse&fm=organic&iid=814ded96-199d-43cd-862b-3235b453cfcb.SHTFX8WCR7JFHMHT.SEARCH&ppt=browse&ppn=browse&ssid=7t8ruup1340000001622531307042
13669961,https://www.flipkart.com/shaily-retails-printed-fashion-poly-georgette-saree/p/itm4a9eca793f3ae?pid=SARESBGRUWNMJUUA&lid=LSTSARESBGRUWNMJUUAO0PMOJ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_8_281&otracker=browse&fm=organic&iid=3aa5b2a0-2386-4b4c-97f8-e2032c5da346.SARESBGRUWNMJUUA.SEARCH&ppt=browse&ppn=browse&ssid=301b8hpom80000001622531391024
17594411,https://www.flipkart.com/benstoke-men-self-design-straight-kurta/p/itm4ff15cd426ed2
16974865,https://www.flipkart.com/bontebok-men-solid-asymmetric-kurta/p/itme91f7d54dece8?pid=KTAFMWQ9N4FNEWN7&lid=LSTKTAFMWQ9N4FNEWN7X5MWPR&marketplace=FLIPKART&store=clo%2Fcfv%2Fcib%2Fjks&srno=b_1_5&otracker=browse&fm=organic&iid=5158e11f-f5dc-46ff-9484-d957fe9eae5e.KTAFMWQ9N4FNEWN7.SEARCH&ppt=browse&ppn=browse&ssid=nyv9ytxc4w0000001622532573413
17602249,https://www.flipkart.com/tissu-women-printed-straight-kurta/p/itm4f9ca4e9ef678?pid=KTAGFYPUBZSEFHGY&lid=LSTKTAGFYPUBZSEFHGYHW8XZS&marketplace=FLIPKART&q=+Tissu+Grey+Rayon+Straight+Kurti&store=clo%2Fcfv%2Fcib%2Frkt&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=9896dcba-0014-4cbd-b31b-d336bfd8b884.KTAGFYPUBZSEFHGY.SEARCH&ppt=sp&ppn=sp&ssid=qyat4bl29s0000001622523320416&qH=d4606424715b5b80
